Fecha,Tarde/Noche,Centena,Fijo,1er Corrido,2do Corrido
20/01/2009,T,3,54,93,18
20/01/2009,N,7,65,16,63
21/01/2009,T,3,48,72,56
21/01/2009,N,8,20,92,96
22/01/2009,T,4,62,2,53
22/01/2009,N,0,12,37,14
23/01/2009,T,5,39,56,82
23/01/2009,N,9,29,8,58
24/01/2009,T,4,36,28,73
24/01/2009,N,8,81,35,20
25/01/2009,T,0,74,14,9
25/01/2009,N,7,48,36,13
26/01/2009,T,4,45,53,0
26/01/2009,N,3,84,52,16
27/01/2009,T,9,44,81,62
27/01/2009,N,9,25,56,48
28/01/2009,T,1,13,80,19
28/01/2009,N,9,95,61,76
29/01/2009,T,8,70,19,57
29/01/2009,N,0,42,82,24
30/01/2009,T,0,71,25,89
30/01/2009,N,1,9,27,57
31/01/2009,T,2,27,83,25
31/01/2009,N,9,32,72,13
01/02/2009,T,5,44,54,43
01/02/2009,N,8,3,32,30
02/02/2009,T,9,35,22,99
02/02/2009,N,5,92,15,19
03/02/2009,T,5,38,80,90
03/02/2009,N,4,5,12,1
04/02/2009,T,5,47,56,81
04/02/2009,N,8,55,49,75
05/02/2009,T,7,38,0,71
05/02/2009,N,5,74,71,74
06/02/2009,T,3,9,30,52
06/02/2009,N,1,60,71,60
07/02/2009,T,3,64,51,79
07/02/2009,N,1,35,9,87
08/02/2009,T,0,28,58,76
08/02/2009,N,4,49,65,74
09/02/2009,T,2,0,55,11
09/02/2009,N,6,37,44,55
10/02/2009,T,6,18,12,47
10/02/2009,N,0,71,28,95
11/02/2009,T,0,26,29,9
11/02/2009,N,2,2,30,44
12/02/2009,T,4,98,42,60
12/02/2009,N,8,98,31,31
13/02/2009,T,2,99,33,5
13/02/2009,N,7,23,49,10
14/02/2009,T,7,72,67,9
14/02/2009,N,7,1,65,6
15/02/2009,T,1,40,51,95
15/02/2009,N,4,47,61,93
16/02/2009,T,8,53,78,72
16/02/2009,N,7,65,54,37
17/02/2009,T,2,88,85,27
17/02/2009,N,9,23,93,32
18/02/2009,T,8,10,3,71
18/02/2009,N,6,46,54,34
19/02/2009,T,5,72,2,85
19/02/2009,N,2,20,10,59
20/02/2009,T,5,60,68,0
20/02/2009,N,0,34,50,98
21/02/2009,T,2,30,76,44
21/02/2009,N,7,73,94,80
22/02/2009,T,0,63,57,44
22/02/2009,N,8,14,41,21
23/02/2009,T,8,27,76,55
23/02/2009,N,9,1,55,92
24/02/2009,T,1,89,4,11
24/02/2009,N,9,76,1,36
25/02/2009,T,4,84,34,85
25/02/2009,N,2,84,83,32
26/02/2009,T,4,45,58,30
26/02/2009,N,1,41,3,87
27/02/2009,T,9,17,69,13
27/02/2009,N,4,93,11,34
28/02/2009,T,3,73,33,26
28/02/2009,N,9,85,51,28
